Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S,[2022],S,[2023],S,[2024],S
Chile,"Salmon sides, salted or in brine",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3,,2,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,13,,153,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Salmon steaks, frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,10263,,13319,,15943,,23373,,27698,,36056,,25949,,16346,,5708,,7495,,11672,,15564,,16797,,15734,,15707,,20753,,24082,,25889.51,,26354.06,,25436.11,,0,...,0,...,0,...
Chile,"Salmonoids fillets, dried, salted or in brine, but not smoked",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,313,,177,,148,,198,,937,,504,,21,,13,,0,...,0,...,0,N,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Salmonoids meat, fresh or chilled, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,26,,0,...,0,...,0,...,582,,1225,,1159,,1717,,1710,,2830,,3095,,2928.86,,2104.26,,3482.95,,4088.44,,3769.57,,3000.41,
Chile,"Salmonoids nei, dried, whether or not salted, not smoked",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0.7,,0,...,0,...,0,...,0,...
Chile,"Salmonoids, fresh or chilled, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,0,N,0,N,0,...,0,N,1,,0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Salmonoids, frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,21,,0,N,0,...,33,,18,,2,,2,,0,...,26,,9,,26,,0,N,4,,24,,260,,20,,0,...,23,,31,,5,,0,N,4187,,55,,11,,0,N,0,...,0,N,0,...,0,...,70.18,,0,...,0,...,0,...,0,...
Chile,"Salmons, dried, whether or not salted, not smoked, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,0,N,4,,1,,0,N,32,,7,,0,N,0,...,0,...,0,N,0,...,0,...,2.17,,0,...,0,...,0,...
Chile,"Salmons, fresh or chilled, nei",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,40,,14246,,15727,,15904,,21553,,26207,,23976,,19266,,10855,,14983,,19285,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Chile,"Salmons, meat. frozen",Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,45,,82,,195,,483,,1222,,2149,,3155,,0,...,0,...,9504,,4419,,6252,,10729,,13267,,9866,,4651,,9477,,5226,,2283,,4976,,8157,,8281,,8289,,8384,,7905,,3819,,5047,,6234.86,,7502.29,,7890.65,,0,...,0,...,0,...
